,Series ID,Year,Value,LOCATION,dum
166,Older than 65,2002,0.13218764789398998,USA,0.0
167,Older than 65,2003,0.139896070531909,USA,0.0
168,Older than 65,2004,0.144380236925744,USA,0.0
169,Older than 65,2005,0.150446263081354,USA,0.0
170,Older than 65,2006,0.153960632353354,USA,0.0
171,Older than 65,2007,0.160179971292923,USA,0.0
172,Older than 65,2008,0.167994187611,USA,0.0
173,Older than 65,2009,0.17198273593347,USA,0.0
174,Older than 65,2010,0.173538986203689,USA,0.0
175,Older than 65,2011,0.179012811799945,USA,0.0
176,Older than 65,2012,0.18455181637966,USA,0.0
177,Older than 65,2013,0.186952916244356,USA,0.0
178,Older than 65,2014,0.185898576512456,USA,0.0
179,Older than 65,2015,0.18925776210544398,USA,0.0
180,Older than 65,2016,0.19302591860102003,USA,0.0
181,Older than 65,2017,0.193290541358847,USA,0.0
182,Older than 65,2018,0.19563988066220803,USA,0.0
183,Older than 65,2019,0.201568849825158,USA,0.0
184,Older than 65,2020,0.19434881336068,USA,0.0
185,Older than 65,2021,0.188624512822338,USA,0.0
187,15-64,1961,0.6573578516672149,USA,0.0
188,15-64,1962,0.654439147921942,USA,0.0
189,15-64,1963,0.6532873046750141,USA,0.0
190,15-64,1964,0.6535161409151761,USA,0.0
191,15-64,1965,0.654956229551685,USA,0.0
192,15-64,1966,0.6601040959493101,USA,0.0
193,15-64,1967,0.663441936983656,USA,0.0
194,15-64,1968,0.664845845977921,USA,0.0
195,15-64,1969,0.670026626093572,USA,0.0
196,15-64,1970,0.673721385197795,USA,0.0
197,15-64,1971,0.6724336316151089,USA,0.0
198,15-64,1972,0.6762340655267439,USA,0.0
199,15-64,1973,0.68232471509297,USA,0.0
200,15-64,1974,0.68911700497004,USA,0.0
201,15-64,1975,0.6899391471484251,USA,0.0
202,15-64,1976,0.695659632870132,USA,0.0
203,15-64,1977,0.704153504496515,USA,0.0
204,15-64,1978,0.714847888602997,USA,0.0
205,15-64,1979,0.721917856763174,USA,0.0
206,15-64,1980,0.724500327768247,USA,0.0
207,15-64,1981,0.7270768658925241,USA,0.0
208,15-64,1982,0.729645641147837,USA,0.0
209,15-64,1983,0.731579053821727,USA,0.0
210,15-64,1984,0.737659219739914,USA,0.0
211,15-64,1985,0.7443555320415319,USA,0.0
212,15-64,1986,0.750026128079847,USA,0.0
213,15-64,1987,0.754906335072779,USA,0.0
214,15-64,1988,0.75886693034019,USA,0.0
215,15-64,1989,0.7659634013700639,USA,0.0
216,15-64,1990,0.7653249457537881,USA,0.0
217,15-64,1991,0.7624934098309819,USA,0.0
218,15-64,1992,0.7663657717708119,USA,0.0
219,15-64,1993,0.7658948624881241,USA,0.0
220,15-64,1994,0.767314222299958,USA,0.0
221,15-64,1995,0.768728647756032,USA,0.0
222,15-64,1996,0.7706389959903581,USA,0.0
223,15-64,1997,0.773670125742065,USA,0.0
224,15-64,1998,0.773638024325949,USA,0.0
225,15-64,1999,0.7723156975848551,USA,0.0
226,15-64,2000,0.7719905533440161,USA,0.0
227,15-64,2001,0.7681139449126619,USA,0.0
228,15-64,2002,0.76399908577399,USA,0.0
229,15-64,2003,0.758192138756774,USA,0.0
230,15-64,2004,0.754451679214194,USA,0.0
231,15-64,2005,0.754080852712366,USA,0.0
232,15-64,2006,0.755404992727781,USA,0.0
233,15-64,2007,0.7530106317726439,USA,0.0
234,15-64,2008,0.7529116190127451,USA,0.0
235,15-64,2009,0.7462424735721901,USA,0.0
236,15-64,2010,0.739078468298807,USA,0.0
237,15-64,2011,0.7329181049577269,USA,0.0
238,15-64,2012,0.731054136712079,USA,0.0
239,15-64,2013,0.7281069081956031,USA,0.0
240,15-64,2014,0.726967736850143,USA,0.0
241,15-64,2015,0.7260601195341989,USA,0.0
242,15-64,2016,0.729522196756252,USA,0.0
243,15-64,2017,0.7334251254032119,USA,0.0
244,15-64,2018,0.736264321617774,USA,0.0
245,15-64,2019,0.7411377431302959,USA,0.0
246,15-64,2020,0.7297686175384019,USA,0.0
247,15-64,2021,0.7337325096464901,USA,0.0
249,Older than 15,1961,0.6358908364765921,USA,0.0
250,Older than 15,1962,0.633022606067528,USA,0.0
251,Older than 15,1963,0.588342498284037,USA,0.0
252,Older than 15,1964,0.588688327316486,USA,0.0
253,Older than 15,1965,0.589592946856951,USA,0.0
254,Older than 15,1966,0.5933842775053401,USA,0.0
255,Older than 15,1967,0.59525697786333,USA,0.0
256,Older than 15,1968,0.5963915651699689,USA,0.0
257,Older than 15,1969,0.6009841215486891,USA,0.0
258,Older than 15,1970,0.603799047320315,USA,0.0
259,Older than 15,1971,0.601813020655027,USA,0.0
260,Older than 15,1972,0.603881326061918,USA,0.0
261,Older than 15,1973,0.6079593737465749,USA,0.0
