,Year,cume,Country,Million tonnes of carbon dioxide
250,1987,23662.145510397608,Germany,1031.4312799667077
251,1988,24679.16087192441,Germany,1017.0153615268052
252,1989,25682.975966670696,Germany,1003.8150947462854
253,1990,26690.581848031325,Germany,1007.6058813606267
254,1991,27660.285058296555,Germany,969.7032102652292
255,1992,28584.00084471277,Germany,923.7157864162161
256,1993,29500.273280960915,Germany,916.2724362481443
257,1994,30397.204792380086,Germany,896.9315114191718
258,1995,31286.605761255098,Germany,889.400968875013
259,1996,32201.45029887827,Germany,914.8445376231701
260,1997,33089.44365420749,Germany,887.9933553292259
261,1998,33968.47983852572,Germany,879.0361843182287
262,1999,34824.39530940935,Germany,855.9154708836261
263,2000,35678.82362341388,Germany,854.4283140045347
264,2001,36550.496177374866,Germany,871.6725539609845
265,2002,37409.54349535437,Germany,859.0473179795054
266,2003,38271.53490811486,Germany,861.9914127604876
267,2004,39119.06067483928,Germany,847.5257667244227
268,2005,39945.3783048692,Germany,826.3176300299153
269,2006,40789.15545289808,Germany,843.7771480288787
270,2007,41600.22365805904,Germany,811.0682051609639
271,2008,42409.59207149801,Germany,809.3684134389683
272,2009,43163.18192285025,Germany,753.5898513522395
273,2010,43946.34518309148,Germany,783.1632602412282
274,2011,44710.03509695058,Germany,763.6899138591006
275,2012,45483.036360645565,Germany,773.0012636949873
276,2013,46280.60790362827,Germany,797.5715429827006
277,2014,47031.68872106282,Germany,751.0808174345498
278,2015,47787.31971933245,Germany,755.6309982696362
279,2016,48557.776897912925,Germany,770.4571785804729
280,2017,49318.725549884664,Germany,760.9486519717361
281,2018,50051.837734924185,Germany,733.1121850395228
282,2019,50731.9137762673,Germany,680.0760413431141
283,2020,51332.6987768822,Germany,600.7850006148996
284,2021,51961.59376487555,Germany,628.8949879933527
285,1965,167.4509926325685,India,167.4509926325685
286,1966,337.4754725868166,India,170.02447995424808
287,1967,511.9455718175353,India,174.47009923071872
288,1968,694.4863737737589,India,182.54080195622367
289,1969,891.962807029193,India,197.476433255434
290,1970,1081.8588691616587,India,189.8960621324658
291,1971,1288.4443150161921,India,206.58544585453333
292,1972,1507.0120830942064,India,218.56776807801435
293,1973,1726.0274069729699,India,219.0153238787633
294,1974,1964.6239223168234,India,238.59651534385355
295,1975,2218.03014306364,India,253.40622074681653
296,1976,2481.874074419221,India,263.84393135558116
297,1977,2759.498429336523,India,277.6243549173019
298,1978,3036.057951305752,India,276.55952196922897
299,1979,3331.9758850022313,India,295.9179336964796
300,1980,3642.301788141117,India,310.3259031388854
301,1981,3982.1358904383123,India,339.8341022971957
302,1982,4323.912472090167,India,341.7765816518546
303,1983,4688.521150218544,India,364.60867812837654
304,1984,5074.5248803921895,India,386.003730173646
305,1985,5483.529404672661,India,409.0045242804712
306,1986,5921.464525180292,India,437.9351205076316
307,1987,6396.259594961526,India,474.7950697812337
308,1988,6908.009936423914,India,511.7503414623875
309,1989,7466.979797149215,India,558.9698607253013
310,1990,8069.043806104334,India,602.0640089551196
311,1991,8703.924505373827,India,634.8806992694922
312,1992,9375.840894958592,India,671.916389584766
313,1993,10069.885835805684,India,694.0449408470921
314,1994,10794.672372087389,India,724.7865362817046
315,1995,11568.089093527802,India,773.4167214404133
316,1996,12380.541744273303,India,812.4526507455012
317,1997,13235.518544846575,India,854.9768005732708
318,1998,14131.215960516387,India,895.6974156698129
319,1999,15045.521735283166,India,914.3057747667782
320,2000,16005.300135308937,India,959.7784000257705
321,2001,16973.94337723672,India,968.6432419277813
322,2002,17982.524671876956,India,1008.5812946402369
323,2003,19031.90703275619,India,1049.3823608792338
324,2004,20144.023685568074,India,1112.1166528118856
325,2005,21344.269109465076,India,1200.245423897003
326,2006,22596.127768447797,India,1251.8586589827216
327,2007,23958.810477951076,India,1362.682709503278
328,2008,25420.781287099686,India,1461.9708091486107
329,2009,27014.93585949876,India,1594.1545723990728
330,2010,28663.248586997546,India,1648.3127274987876
331,2011,30391.599094016754,India,1728.3505070192073
332,2012,32252.994153982647,India,1861.3950599658904
333,2013,34186.95846901672,India,1933.964315034074
