,Exajoules,value,Year,Totals,China Percentages
78,Gas,0.4992566371681415,1986,23.198782343851896,0.021520812160231922
79,Gas,0.5039734513274335,1987,25.02086013121654,0.020142131352977186
80,Gas,0.5173982300884955,1988,26.881603695734814,0.01924729774104172
81,Gas,0.546025663716814,1989,28.211171320794264,0.01935494480210902
82,Gas,0.5550601769911503,1990,28.57836046758187,0.0194223940040503
83,Gas,0.5620265486725664,1991,30.01606171245918,0.018724193535332397
84,Gas,0.5729115044247788,1992,31.586514615945635,0.018137851275796008
85,Gas,0.6082876106194689,1993,34.048686343514674,0.017865229938168546
86,Gas,0.6370964601769911,1994,36.180869954015336,0.017608655098308005
87,Gas,0.6436637168141592,1995,37.30406716473098,0.01725451849450639
88,Gas,0.674504424778761,1996,39.284295999858486,0.01716982340172752
89,Gas,0.7127469026548672,1997,39.56322357796453,0.018015390006082436
90,Gas,0.7349884955752212,1998,39.630398965061616,0.018546078635826784
91,Gas,0.7798707964601769,1999,41.018665861873245,0.019012583175823498
92,Gas,0.8890469026548672,2000,42.51003967824351,0.020913810228925248
93,Gas,0.9952477876106193,2001,44.921432357716256,0.022155299494577743
94,Gas,1.0588884955752211,2002,48.91269577247728,0.021648540912583433
95,Gas,1.2302902654867256,2003,56.95946113354267,0.021599401416426394
96,Gas,1.4394229203539821,2004,66.640277270754,0.021599893927597636
97,Gas,1.6911038948672565,2005,75.72861826123679,0.022331107231265593
98,Gas,2.0802152547787607,2006,83.01231736038308,0.025059115573751296
99,Gas,2.5588043568761054,2007,90.24356868303997,0.028354423414518593
100,Gas,2.9495846124991143,2008,93.7788064295026,0.031452571479638515
101,Gas,3.2480650793026187,2009,97.93987032825129,0.03316386950908282
102,Gas,3.9194659760836363,2010,104.80965895305357,0.03739603787699802
103,Gas,4.865863396862452,2011,113.03932617268002,0.0430457572741482
104,Gas,5.431592957520337,2012,117.68627878586848,0.04615315407672276
105,Gas,6.1876275123231075,2013,122.15133451667884,0.05065542293750572
106,Gas,6.78107288062376,2014,125.80632594302067,0.05390088956015611
107,Gas,7.008823008849556,2015,127.54571416704651,0.05495145842117522
108,Gas,7.539879197591291,2016,129.76644998272914,0.05810345585160716
109,Gas,8.685078690821433,2017,134.4236529003428,0.0646097506162867
110,Gas,10.22133628318584,2018,139.83710972109768,0.0730945905816567
111,Gas,11.101566371681413,2019,145.10780826962772,0.076505644348603
112,Gas,12.118221238938052,2020,149.0528366377736,0.08130151369334625
113,Gas,13.632998893805308,2021,159.49210028143003,0.0854775808315857
114,Hydro,0.23522612903225812,1965,5.5302993244570375,0.042534068272218256
115,Hydro,0.23936610890322585,1966,6.009508456929775,0.039831229229273214
116,Hydro,0.20634036038709677,1967,5.403846454714531,0.03818397915563963
117,Hydro,0.24345904354838718,1968,5.460105295725378,0.04458870852527094
118,Hydro,0.24759902341935486,1969,6.642670196667143,0.03727402024920398
119,Hydro,0.2558789831612903,1970,8.502114260524122,0.0300959238279534
120,Hydro,0.3095105405806452,1971,10.080447048624894,0.03070404904541079
121,Hydro,0.3507692036129032,1972,10.86781164008193,0.032275973786591944
122,Hydro,0.39202786664516126,1973,11.472815063972597,0.03417015479280436
123,Hydro,0.44363647935483874,1974,11.83234213373537,0.03749354729102872
