,Year,cume,Country,Million tonnes of carbon dioxide
229,1966,1018.8744634544196,China,530.3490445334894
230,1967,1494.7951372521886,China,475.92067379776904
231,1968,1971.4779275982178,China,476.6827903460292
232,1969,2553.9516277245184,China,582.4737001263009
233,1970,3302.4587579873732,China,748.5071302628548
234,1971,4184.159913631056,China,881.7011556436823
235,1972,5129.536638068568,China,945.3767244375122
236,1973,6116.538938641137,China,987.0023005725692
237,1974,7123.307473161785,China,1006.7685345206478
238,1975,8254.580262184609,China,1131.2727890228239
239,1976,9437.721654437812,China,1183.1413922532035
240,1977,10731.269765013856,China,1293.548110576044
241,1978,12149.80235176122,China,1418.532586747363
242,1979,13608.2565725085,China,1458.4542207472805
243,1980,15069.12533210792,China,1460.8687595994213
244,1981,16507.399642234413,China,1438.274310126494
245,1982,18009.42660865884,China,1502.0269664244233
246,1983,19606.089648277917,China,1596.6630396190794
247,1984,21328.11709903368,China,1722.0274507557617
248,1985,23149.854566814203,China,1821.7374677805224
249,1986,25053.461648349705,China,1903.6070815355015
250,1987,27101.569607447487,China,2048.1079590977843
251,1988,29298.38531211223,China,2196.8157046647434
252,1989,31593.42930923203,China,2295.0439971197993
253,1990,33902.2220273013,China,2308.7927180692673
254,1991,36342.17642672195,China,2439.954399420648
255,1992,38904.93259174257,China,2562.75616502062
256,1993,41674.546984968765,China,2769.614393226199
257,1994,44595.90452974688,China,2921.357544778109
258,1995,47605.06792499241,China,3009.1633952455327
259,1996,50761.72306870545,China,3156.6551437130406
260,1997,53904.05446821918,China,3142.331399513736
261,1998,57043.86246077826,China,3139.8079925590823
262,1999,60312.3363632613,China,3268.4739024830374
263,2000,63640.32033980726,China,3327.9839765459546
264,2001,67130.0475582385,China,3489.7272184312355
265,2002,70939.31153181187,China,3809.2639735733774
266,2003,75433.44747486575,China,4494.135943053884
267,2004,80750.61524208447,China,5317.16776721872
268,2005,86829.87473810546,China,6079.259496020978
269,2006,93489.84836101117,China,6659.973622905726
270,2007,100706.9874562367,China,7217.139095225524
271,2008,108063.5473401729,China,7356.559883936194
272,2009,115748.56743387532,China,7685.020093702419
273,2010,123870.255167373,China,8121.687733497693
274,2011,132663.74622520167,China,8793.491057828665
275,2012,141642.48491512984,China,8978.73868992817
276,2013,150861.58422580434,China,9219.09931067451
277,2014,160118.2643310331,China,9256.680105228761
278,2015,169344.466700321,China,9226.202369287897
279,2016,178578.88275535722,China,9234.416055036218
280,2017,188023.75341939955,China,9444.87066404231
281,2018,197699.73884185695,China,9675.985422457408
282,2019,207568.2646496093,China,9868.525807752367
283,2020,217542.53599674156,China,9974.271347132231
284,2021,228065.5620389338,China,10523.026042192267
285,1965,329.4457042845905,France,329.4457042845905
286,1966,660.4222941225531,France,330.97658983796265
287,1967,1016.3572470376153,France,355.93495291506207
288,1968,1385.6369506234505,France,369.27970358583536
289,1969,1790.043001346328,France,404.4060507228776
290,1970,2223.7770270388273,France,433.73402569249913
291,1971,2677.347011677617,France,453.5699846387896
292,1972,3155.1329652404224,France,477.7859535628057
293,1973,3673.949862299485,France,518.8168970590624
294,1974,4174.427359590907,France,500.47749729142237
295,1975,4631.539631257785,France,457.1122716668781
296,1976,5141.125435214657,France,509.5858039568713
297,1977,5634.202257946994,France,493.0768227323373
298,1978,6131.857755257682,France,497.65549731068774
299,1979,6642.027473502453,France,510.16971824477184
300,1980,7127.062623324481,France,485.03514982202796
301,1981,7568.890751803371,France,441.8281284788897
302,1982,7987.477989231735,France,418.587237428363
303,1983,8390.280712978461,France,402.80272374672734
304,1984,8777.974864000722,France,387.6941510222603
305,1985,9159.792531144136,France,381.81766714341404
