,Year,Cumulative global emissions,cume,Country,Million tonnes of carbon dioxide,ranked,pct
201,1995,21463.942458949707,12825.999350809272,France,356.1613617688484,10.0,0.016593473563862527
202,1996,22062.89643347672,13198.535029562892,France,372.53567875361983,10.0,0.016885166454770638
203,1997,22204.1288262245,13559.6927741842,France,361.1577446213071,10.0,0.016265341795114997
204,1998,22260.472883029448,13944.55689750209,France,384.8641233178914,10.0,0.017289126126844207
205,1999,22556.99387282719,14328.919943616786,France,384.36304611469615,10.0,0.01703963960276245
206,2000,23069.955730710037,14710.419721269443,France,381.4997776526581,10.0,0.016536649749388854
207,2001,23358.915198294562,15093.827186862947,France,383.4074655935026,10.0,0.016413753050548135
208,2002,23900.876789866597,15473.957646587458,France,380.1304597245107,10.0,0.01590445668862144
209,2003,25085.058243243737,15861.12058282607,France,387.16293623861225,10.0,0.015434005872515304
210,2004,26397.309142709997,16250.229184457112,France,389.10860163104144,10.0,0.014740464625671874
211,2005,27455.05955427274,16639.99992480773,France,389.77074035061884,10.0,0.014196681656440266
212,2006,28316.292827953377,17020.051750031314,France,380.0518252235839,10.0,0.013421666018667634
213,2007,29344.75498252213,17390.516222400896,France,370.46447236958085,10.0,0.012624554970393557
214,2008,29606.081556748075,17760.26300372991,France,369.74678132901363,10.0,0.012488879375012656
215,2009,28966.792092613676,18115.06586731431,France,354.80286358440515,10.0,0.01224860738634836
216,2010,30301.741784820064,18475.428028182498,France,360.36216086818246,10.0,0.01189245698901405
217,2011,31194.973024475086,18809.575525252847,France,334.14749707034997,10.0,0.01071158153617197
218,2012,31530.749508551926,19145.13881213411,France,335.5632868812644,10.0,0.010642413901079366
219,2013,32010.37744731882,19480.067443036845,France,334.92863090273477,10.0,0.010463126573685195
220,2014,32119.310836364788,19781.576081744268,France,301.5086387074239,10.0,0.009387145329596001
221,2015,32128.2396330235,20089.058598368298,France,307.48251662402765,10.0,0.009570475075390595
222,2016,32290.036368734018,20402.14402599298,France,313.0854276246825,10.0,0.00969603824688902
223,2017,32649.346419607627,20719.962331880648,France,317.8183058876699,10.0,0.0097342930484147
224,2018,33357.08931424396,21026.65630764044,France,306.6939757597942,10.0,0.00919426670806171
225,2019,33290.92122968449,21325.943395059134,France,299.2870874186887,10.0,0.00899005123210059
226,2020,31341.989193406283,21577.49350925367,France,251.5501141945378,10.0,0.008025977950610066
227,2021,33139.76772360828,21851.045065719427,France,273.5515564657559,10.0,0.008254480198751718
228,1965,11001.518840048726,910.4138464407083,Germany,910.4138464407083,7.0,0.08275346883255222
229,1966,11497.002495872768,1811.451644454541,Germany,901.0377980138328,7.0,0.07837154061132806
230,1967,11851.263252096604,2703.867764934519,Germany,892.4161204799782,7.0,0.0753013498642941
231,1968,12483.67243368634,3648.6231578959632,Germany,944.7553929614439,7.0,0.07567928411931779
232,1969,13255.523020558425,4660.547529096707,Germany,1011.9243712007434,7.0,0.07633982979255641
233,1970,14033.98414552271,5703.941797758297,Germany,1043.3942686615903,7.0,0.0743476875734156
234,1971,14481.784815768166,6749.063071787379,Germany,1045.1212740290819,7.0,0.07216798808466793
235,1972,15165.882364461551,7816.389775125634,Germany,1067.3267033382542,7.0,0.07037682857407213
236,1973,16016.650206785453,8932.8141708024,Germany,1116.424395676766,7.0,0.06970398811630367
237,1974,15911.427837435984,10018.134640308068,Germany,1085.3204695056695,7.0,0.06821012423235559
238,1975,15879.888805750468,11043.434347548164,Germany,1025.299707240095,7.0,0.0645659248488447
239,1976,16725.956476515323,12136.84612071997,Germany,1093.4117731718065,7.0,0.06537215224175971
240,1977,17256.431650625585,13209.359742494325,Germany,1072.513621774355,7.0,0.062151529556545015
